Maligno,Dispositivo,TipologiaAttacco,RMSE:
0,1,0,0.34407618817572855
0,1,0,0.34822325030317236
0,1,0,0.24036860358185538
0,1,0,0.3474859966920386
0,1,0,0.22754551319256405
0,1,0,0.35157429671587215
0,1,0,0.3464303785922263
0,1,0,0.2191714764140692
0,1,0,0.34357275203476056
0,1,0,0.3503888703156088
0,1,0,0.3472651855008611
0,1,0,0.2894197308533382
0,1,0,0.21573924918244375
0,1,0,0.33358555937068335
0,1,0,0.24642766447098896
0,1,0,0.35079286033248874
0,1,0,0.3500880744005679
0,1,0,0.20099901021996636
0,1,0,0.34989828183406296
0,1,0,0.3433594261573058
0,1,0,0.33208256587478063
0,1,0,0.27830552923766844
0,1,0,0.2961802182360511
0,1,0,0.34766698311813665
0,1,0,0.32706326182030193
0,1,0,0.23825295490256979
0,1,0,0.35068979791363036
0,1,0,0.2741970758885529
0,1,0,0.23031970306627064
0,1,0,0.3638639247463588
0,1,0,0.3420781144219865
0,1,0,0.2405988317395302
0,1,0,0.3500051572992471
0,1,0,0.3432649339637608
0,1,0,0.3538294284037314
0,1,0,0.2587168667636855
0,1,0,0.35001531048065626
0,1,0,0.348893339021665
0,1,0,0.22187834179039906
0,1,0,0.3493057820051221
0,1,0,0.3560692810274043
0,1,0,0.34552219793752886
0,1,0,0.28718304966700947
0,1,0,0.2182236258753281
0,1,0,0.33386455759690925
0,1,0,0.24456772190534914
0,1,0,0.3501660478885627
0,1,0,0.35062205031581484
0,1,0,0.23530234596154137
0,1,0,0.3493766499658516
0,1,0,0.29839509833918987
0,1,0,0.23714235190960517
0,1,0,0.3435050628921712
0,1,0,0.2367559601038912
0,1,0,0.2839231805794531
0,1,0,0.1915478810498561
0,1,0,0.23520890431215696
0,1,0,0.3396711773624373
0,1,0,0.32112862140028187
0,1,0,0.2682292186258038
0,1,0,0.23457214738659868
0,1,0,0.3195049049015366
0,1,0,0.22415121423512657
0,1,0,0.35264558004512814
0,1,0,0.34589160740674413
0,1,0,0.3465588490718697
0,1,0,0.22224523623874737
0,1,0,0.3518426105294925
0,1,0,0.34726589196112095
0,1,0,0.22987933186255155
0,1,0,0.3510820523071928
0,1,0,0.3488813358761354
0,1,0,0.2685970479829538
0,1,0,0.225692157790603
0,1,0,0.36083908767144207
0,1,0,0.3341346654889114
0,1,0,0.24052606371479235
0,1,0,0.3446743695926981
0,1,0,0.2902210349674061
0,1,0,0.2501476763083034
0,1,0,0.3467756606563009
0,1,0,0.24051441432952086
0,1,0,0.35139333873526873
0,1,0,0.3455594388292304
0,1,0,0.34640528712649693
0,1,0,0.22144184416523333
0,1,0,0.3502015563267055
0,1,0,0.2775677686896072
0,1,0,0.29057626222680094
0,1,0,0.2381499083345388
0,1,0,0.33448652101093
0,1,0,0.2920861831805852
0,1,0,0.22755437460326258
0,1,0,0.33619136318982434
0,1,0,0.2303450286246659
0,1,0,0.3517084521712895
0,1,0,0.36367900272292236
0,1,0,0.34418614232227335
0,1,0,0.35765698813769375
0,1,0,0.23257887903852525
0,1,0,0.3508711185954066
0,1,0,0.3502811537252236
0,1,0,0.2543030243797311
0,1,0,0.3338663228643178
0,1,0,0.2427038438274549
0,1,0,0.3399808893508624
0,1,0,0.35024213531041953
0,1,0,0.2913530519504263
0,1,0,0.22073584146292333
0,1,0,0.3619945967652522
0,1,0,0.34164585133219283
0,1,0,0.23229047391763885
0,1,0,0.35084995653537304
0,1,0,0.35219240093663096
0,1,0,0.20563416263659706
0,1,0,0.3503197062405884
0,1,0,0.34525852512719885
0,1,0,0.3337458488480718
0,1,0,0.21716607801093563
0,1,0,0.3495672158218367
0,1,0,0.33519177956823154
0,1,0,0.28243778063248753
0,1,0,0.22099899746204993
0,1,0,0.3322089430627729
0,1,0,0.23127770480180698
0,1,0,0.35025272954073416
0,1,0,0.34405738700589433
0,1,0,0.3513584468934399
0,1,0,0.23891595160340243
0,1,0,0.3493911484473299
0,1,0,0.3293488880736989
0,1,0,0.19126831285585588
0,1,0,0.3177334061525737
0,1,0,0.2755129090017731
0,1,0,0.25197866457221263
0,1,0,0.3257157384117935
0,1,0,0.3263911502774778
0,1,0,0.2657165222514768
0,1,0,0.22844566126131022
0,1,0,0.36578927732147587
0,1,0,0.3317699282935541
0,1,0,0.20052752813638955
0,1,0,0.3521321596673247
0,1,0,0.34357570101741036
0,1,0,0.32759061216869567
0,1,0,0.31184933487859845
0,1,0,0.29609085462147405
0,1,0,0.2333320201852954
0,1,0,0.32501211023754756
0,1,0,0.22754504744546392
0,1,0,0.35268033852830727
0,1,0,0.3492096797995532
0,1,0,0.2320026514766326
0,1,0,0.3521885084910494
0,1,0,0.3433590919054895
0,1,0,0.35702182325339027
0,1,0,0.2786791947471188
0,1,0,0.21504053530186545
0,1,0,0.3328646425484635
0,1,0,0.21394221357418264
0,1,0,0.32208505586238884
0,1,0,0.291880403398259
0,1,0,0.32693529199200494
0,1,0,0.3154609568525875
0,1,0,0.35060928762337784
0,1,0,0.2349080169779001
0,1,0,0.35183635966460364
0,1,0,0.3432637536821212
0,1,0,0.3520469613588466
0,1,0,0.2852592479495707
0,1,0,0.35044792807138986
0,1,0,0.3534863967261198
0,1,0,0.28049267883719686
0,1,0,0.2223216036245359
0,1,0,0.33561371803381956
0,1,0,0.289752167747863
0,1,0,0.35063912891289584
0,1,0,0.351931066948671
0,1,0,0.2900494453802759
0,1,0,0.3498562631248671
0,1,0,0.3478209044344043
0,1,0,0.28115756214490667
0,1,0,0.26744280464195835
0,1,0,0.24950645471848157
0,1,0,0.34714917256500116
0,1,0,0.36131828490087436
0,1,0,0.34222499165968384
0,1,0,0.2735729544475107
0,1,0,0.235116190277922
0,1,0,0.337319344306433
0,1,0,0.24806162149588906
0,1,0,0.3509314666578336
0,1,0,0.351018070084971
0,1,0,0.22636805304415053
0,1,0,0.3500811335582021
0,1,0,0.3607298535515416
0,1,0,0.3474691493676138
0,1,0,0.22077193028490552
0,1,0,0.34924812140940864
0,1,0,0.3469268267757649
0,1,0,0.2764589858908725
0,1,0,0.22344965386929905
0,1,0,0.3323829145305906
0,1,0,0.24228607828837412
0,1,0,0.3502416561182304
0,1,0,0.3602070301073225
0,1,0,0.3462267452549253
0,1,0,0.3508477376137215
0,1,0,0.2237844083043906
0,1,0,0.2815436553186592
